x,y,power
250,250,50297.85
450,50,43267.87
350,150,48278.73
750,350,54153.29
700,0,48819.41
950,50,58213.46
1250,250,74984.61
1200,400,84361.15
1250,350,88706.99
1424,0,81391.28
100,400,52211.08
400,100,47274.52
300,200,49031.15
500,50,46912.23
550,0,45898.19
850,300,57692.38
900,100,58139.1
1000,0,59010.98
1150,300,75656.57
1424,50,93362.16
200,800,53760.24
0,700,47194.77
200,400,50984.22
50,1000,64755.37
650,400,53499.98
800,350,57629.76
1100,350,82405.24
1300,200,85655.82
1050,450,78510.63
1374,150,89671.04
300,1250,94790.18
600,450,57471.63
50,450,49790.33
150,300,47897.58
700,400,49068.17
900,750,67867.22
950,750,74747.56
1200,700,88334.61
1400,100,95190.71
1450,500,96142.67
250,750,59869.63
350,750,63042.56
350,650,63476.12
100,650,53050.61
400,850,77519.46
850,900,84624.45
1050,750,76794.32
1050,400,69925.59
1000,450,69211.72
1074,650,77293.64
0,1350,101787.39
350,950,75301.09
150,750,68612.2
300,700,66729.52
500,550,58058.71
900,250,55559.9
750,900,69736.92
650,450,56222.32
1300,300,72281.41
1350,200,87146.44
100,1250,82831.06
150,950,66797.88
550,500,57842.19
400,600,58852.23
600,1050,79647.44
800,850,74445.41
750,1250,89160.33
850,800,72196.85
1000,700,69665.69
1424,900,92710.04
50,1350,85164.57
150,1300,76521.19
50,1200,66567.63
300,1124,81712.15
250,1300,98202.14
950,500,69923.97
950,1350,96570.12
1300,1200,97196.94
1350,1150,101780.63
1450,1100,97989.13
200,1200,66144.66
0,1050,57893.56
500,1250,97896.7
100,1324,104335.63
700,1300,94033.66
700,950,79346.71
900,950,79160.91
1000,900,77023.14
1250,1250,91561.43
1400,1100,90309.6
0,1450,98956.5
0,1400,75161.78
800,950,79863.41
500,1450,98375.44
550,1224,103047.51
650,974,71840.43
250,1174,92313.15
1050,1250,87064.92
1200,1450,98368.46
1350,1450,96777.74
