x;y;power;sample_id;site_id;category
1000;0;112173.81;3198;3;Top
1000;0;112173.81;11519;3;Top
1000;0;112173.81;9836;3;Top
1000;0;112173.81;12849;3;Top
1000;0;112173.81;17082;3;Top
1000;0;112173.81;16740;3;Top
1000;0;112173.81;10636;3;Top
1000;0;112106.16;16605;3;Top
1000;0;112106.16;11021;3;Top
1000;0;112106.16;16046;3;Top
1000;0;112106.16;15650;3;Top
1000;0;112106.16;7276;3;Top
1000;0;112106.16;3275;3;Top
1000;0;112106.16;8867;3;Top
1000;0;112106.16;4039;3;Top
1000;0;112106.16;11225;3;Top
1000;0;112106.16;807;3;Top
398;600;53541.05;4463;3;Bottom
549;798;53264.54;17644;3;Bottom
549;798;52670.99;3022;3;Bottom
549;798;52670.99;5870;3;Bottom
549;798;52124.23;16844;3;Bottom
549;798;52124.23;8233;3;Bottom
549;798;52124.23;14651;3;Bottom
549;798;52109.76;1934;3;Bottom
349;798;51814.4;3524;3;Bottom
349;798;51814.4;17558;3;Bottom
