energy_mw,qw
4.10246143,0.87
4.10336141,0.87
4.10368044,0.87
4.10566106,0.87
3.75264877,0.79
3.8200153599999997,0.81
3.9382800299999996,0.83
3.99321216,0.85
4.0371552,0.85
4.0471442,0.86
4.05388007,0.86
4.08217161,0.86
4.08509952,0.87
4.08509952,0.87
4.09801124,0.87
4.09832344,0.87
3.78676992,0.8
3.69379196,0.78
3.7276464,0.79
3.64716822,0.77
3.68562261,0.78
3.6713820299999997,0.78
3.7609932799999997,0.8
3.56013972,0.75
3.70118585,0.78
3.5837999500000004,0.76
3.7090120499999997,0.79
3.71729061,0.79
3.78676992,0.8
3.7609932799999997,0.8
3.6576549,0.77
3.70746486,0.79
3.61270969,0.77
3.7090120499999997,0.79
3.78676992,0.8
3.6156091299999997,0.77
3.70880009,0.79
3.7422230699999997,0.79
3.65496406,0.77
3.73623771,0.79
3.78676992,0.8
3.70746486,0.79
3.73491238,0.79
3.64720731,0.77
3.7609932799999997,0.8
3.6576549,0.77
3.60188096,0.76
3.56623831,0.76
3.70880009,0.79
3.68817577,0.78
3.78676992,0.8
3.7422230699999997,0.79
3.78676992,0.8
3.6404034,0.77
3.64720731,0.77
3.68817577,0.78
3.80808383,0.81
3.67897821,0.78
3.51067833,0.74
3.7609932799999997,0.8
3.6424512599999996,0.77
3.78676992,0.8
3.70880009,0.79
3.6576549,0.77
3.80808383,0.81
3.78676992,0.8
3.83773714,0.81
3.7072166600000003,0.79
3.70375708,0.78
3.68817577,0.78
3.6576549,0.77
3.67897821,0.78
3.78676992,0.8
3.64332165,0.77
3.6580346699999997,0.77
3.70880009,0.79
3.83773714,0.81
3.69102131,0.78
3.59816851,0.76
3.7298635,0.79
3.70375708,0.78
3.78676992,0.8
3.70959127,0.79
3.83773714,0.81
3.67897821,0.78
3.6576549,0.77
3.78676992,0.8
3.7072166600000003,0.79
3.83773714,0.81
3.7072166600000003,0.79
3.70375708,0.78
3.83773714,0.81
3.67897821,0.78
3.69102131,0.78
3.6414126600000003,0.77
3.73359583,0.79
3.7958159300000003,0.8
3.71767171,0.79
3.73062404,0.79
3.83773714,0.81
3.83773714,0.81
3.71767171,0.79
3.83773714,0.81
3.7072166600000003,0.79
3.68227809,0.78
3.75241163,0.79
3.83773714,0.81
3.7022098399999996,0.78
3.7958159300000003,0.8
3.7475169,0.79
3.69102131,0.78
3.67897821,0.78
3.83773714,0.81
3.7072166600000003,0.79
3.83773714,0.81
3.7022098399999996,0.78
3.8102944900000004,0.81
3.68227809,0.78
3.83773714,0.81
3.83773714,0.81
3.69102131,0.78
3.7462439,0.79
3.75241163,0.79
