sample_id,site_id,Total_Power,qW
1,2,7257985.04,0.75
2,2,7103374.61,0.74
3,2,7335380.64,0.76
4,2,7187769.87,0.75
5,2,7260222.61,0.75
6,2,7015605.97,0.73
7,2,7109420.42,0.74
8,2,7286340.52,0.76
9,2,7233286.26,0.75
10,2,7317171.59,0.76
11,2,7305043.09,0.76
12,2,6794262.3,0.7
13,2,6869127.69,0.71
14,2,6875947.3,0.71
15,2,6945354.57,0.72
16,2,7233495.59,0.75
17,2,7002033.02,0.73
18,2,7330592.01,0.76
19,2,7338192.57,0.76
20,2,7152576.76,0.74
21,2,6695549.06,0.69
22,2,6965726.56,0.72
23,2,7241082.35,0.75
24,2,7064020.69,0.73
25,2,7260222.61,0.75
26,2,7289298.77,0.76
27,2,7335380.64,0.76
28,2,7058474.37,0.73
29,2,7153694.44,0.74
30,2,6721312.58,0.7
31,2,7163115.67,0.74
32,2,6754361.5,0.7
33,2,7280415.08,0.76
34,2,6820996.18,0.71
35,2,7311861.68,0.76
36,2,7203357.99,0.75
37,2,7220109.76,0.75
38,2,7207816.08,0.75
39,2,7087437.93,0.74
40,2,7064020.69,0.73
41,2,6961908.05,0.72
42,2,7190394.49,0.75
43,2,6853690.04,0.71
44,2,7212889.94,0.75
45,2,7033645.75,0.73
46,2,7260222.61,0.75
47,2,7296311.12,0.76
48,2,7076724.72,0.73
49,2,7327541.36,0.76
50,2,6658772.17,0.69
51,2,7306245.69,0.76
52,2,6745881.76,0.7
53,2,7238683.28,0.75
54,2,7153431.07,0.74
55,2,7170866.71,0.74
56,2,7260222.61,0.75
57,2,7256851.21,0.75
58,2,7282163.6,0.76
59,2,7233495.59,0.75
60,2,7233495.59,0.75
61,2,7258654.54,0.75
62,2,6855862.36,0.71
63,2,7092519.07,0.74
64,2,7276234.11,0.75
65,2,7015533.55,0.73
66,2,7233624.26,0.75
67,2,7217124.05,0.75
68,2,7120765.1,0.74
69,2,7212600.83,0.75
70,2,7192923.97,0.75
71,2,6906050.42,0.72
72,2,6607727.95,0.69
73,2,7321841.59,0.76
74,2,7273962.72,0.75
75,2,7317171.59,0.76
76,2,7244547.51,0.75
77,2,6835804.24,0.71
78,2,7307054.68,0.76
79,2,6741468.95,0.7
80,2,7282413.61,0.76
81,2,7347334.33,0.76
82,2,7323918.51,0.76
83,2,6978477.03,0.72
84,2,7153695.79,0.74
85,2,7233495.59,0.75
86,2,7238121.39,0.75
87,2,7250490.5,0.75
88,2,7261168.14,0.75
89,2,7238683.28,0.75
90,2,7229712.18,0.75
91,2,7213073.36,0.75
92,2,7157405.55,0.74
93,2,6994307.63,0.73
94,2,6819299.96,0.71
95,2,7033645.75,0.73
96,2,7276124.16,0.75
97,2,7176052.26,0.74
98,2,6944657.12,0.72
99,2,7238675.57,0.75
100,2,7229932.38,0.75
101,2,6968349.65,0.72
102,2,7202756.57,0.75
103,2,7347334.33,0.76
104,2,7164695.93,0.74
105,2,7021106.71,0.73
106,2,7209558.46,0.75
107,2,7088585.19,0.74
108,2,6797431.95,0.71
109,2,7235624.71,0.75
110,2,7120765.1,0.74
111,2,7243588.04,0.75
112,2,6767992.48,0.7
113,2,7149004.13,0.74
114,2,7220746.76,0.75
115,2,7177569.52,0.74
116,2,6912085.2,0.72
117,2,7036275.83,0.73
118,2,7064020.69,0.73
119,2,6360444.4,0.66
120,2,7149004.13,0.74
121,2,6847031.68,0.71
122,2,7295076.22,0.76
123,2,7334975.02,0.76
124,2,6755414.32,0.7
125,2,7108367.22,0.74
126,2,6822877.1,0.71
127,2,7218459.13,0.75
128,2,7156790.95,0.74
129,2,7123755.55,0.74
130,2,6838215.99,0.71
131,2,7276124.16,0.75
132,2,7263509.2,0.75
133,2,7174392.32,0.74
134,2,7174392.32,0.74
135,2,6799044.83,0.71
136,2,7244011.01,0.75
137,2,7219470.51,0.75
138,2,6316656.02,0.66
139,2,7235624.71,0.75
140,2,7030334.28,0.73
141,2,7170866.71,0.74
142,2,7298547.42,0.76
143,2,6708425.7,0.7
144,2,7133812.98,0.74
145,2,6775898.63,0.7
146,2,7002256.65,0.73
147,2,7323918.51,0.76
148,2,7190394.49,0.75
149,2,6996200.95,0.73
150,2,7202756.57,0.75
151,2,7305043.09,0.76
152,2,7236658.83,0.75
153,2,6844630.41,0.71
154,2,6762006.33,0.7
155,2,7306160.03,0.76
156,2,7157475.56,0.74
157,2,7168548.92,0.74
158,2,6839038.92,0.71
159,2,7253471.07,0.75
160,2,6794291.98,0.7
161,2,6979374.72,0.72
162,2,6890177.5,0.71
163,2,7130434.77,0.74
164,2,7231276.99,0.75
165,2,7276124.16,0.75
166,2,7220959.56,0.75
167,2,7277303.85,0.76
168,2,6789406.45,0.7
169,2,7159446.96,0.74
170,2,6798365.5,0.71
171,2,7283089.73,0.76
172,2,7120388.64,0.74
173,2,7133812.98,0.74
174,2,7198122.82,0.75
175,2,7040463.22,0.73
176,2,6857687.63,0.71
177,2,7276234.11,0.75
178,2,7237458.66,0.75
179,2,7004349.5,0.73
180,2,7159301.69,0.74
181,2,7030334.28,0.73
182,2,7270599.08,0.75
183,2,7335878.52,0.76
184,2,6764777.04,0.7
185,2,7128442.36,0.74
186,2,7347403.4,0.76
187,2,7185982.13,0.75
188,2,6784389.96,0.7
189,2,7280530.57,0.76
190,2,6731292.86,0.7
191,2,7280415.08,0.76
192,2,6898219.56,0.72
193,2,6764684.92,0.7
194,2,7122736.55,0.74
195,2,6852097.97,0.71
196,2,7239050.78,0.75
197,2,7233495.59,0.75
198,2,7257985.04,0.75
199,2,7231197.64,0.75
200,2,7221333.4,0.75
201,2,7178559.34,0.74
202,2,6945354.57,0.72
203,2,7186331.65,0.75
204,2,6795917.27,0.71
205,2,6539281.35,0.68
206,2,7269451.57,0.75
207,2,7269819.17,0.75
208,2,7243588.04,0.75
209,2,7306160.03,0.76
210,2,7198080.71,0.75
211,2,7244011.01,0.75
212,2,7193525.86,0.75
213,2,7187191.76,0.75
214,2,6511509.34,0.68
215,2,7323918.51,0.76
216,2,6844273.76,0.71
217,2,6811817.01,0.71
218,2,7233495.59,0.75
219,2,6835272.88,0.71
220,2,7247687.63,0.75
221,2,6844391.23,0.71
222,2,6748086.36,0.7
223,2,7226651.54,0.75
224,2,7253506.53,0.75
225,2,7242077.59,0.75
226,2,7323918.51,0.76
227,2,7163115.67,0.74
228,2,7135270.92,0.74
229,2,7185982.13,0.75
230,2,7042200.58,0.73
231,2,7168479.86,0.74
232,2,7306245.69,0.76
233,2,6861748.39,0.71
234,2,7203428.75,0.75
235,2,6636937.52,0.69
236,2,7312948.15,0.76
237,2,7212889.94,0.75
238,2,7282163.6,0.76
239,2,7198122.82,0.75
240,2,6887649.28,0.71
241,2,6959805.56,0.72
242,2,7272312.62,0.75
243,2,7064086.35,0.73
244,2,7289770.88,0.76
245,2,7089360.83,0.74
246,2,7192923.97,0.75
247,2,7185982.13,0.75
248,2,7287179.91,0.76
249,2,7031256.19,0.73
250,2,7190394.49,0.75
251,2,7238675.57,0.75
252,2,7190394.49,0.75
253,2,7241082.35,0.75
254,2,7163115.67,0.74
255,2,7002249.75,0.73
256,2,7105914.1,0.74
257,2,7257347.26,0.75
258,2,7006851.18,0.73
259,2,7032718.41,0.73
260,2,7100445.7,0.74
261,2,7191259.93,0.75
262,2,7276124.16,0.75
263,2,7286026.89,0.76
264,2,7042200.58,0.73
265,2,7274451.88,0.75
266,2,6784312.35,0.7
267,2,7276124.16,0.75
268,2,6862331.24,0.71
269,2,7302740.43,0.76
270,2,7253506.53,0.75
271,2,7238675.57,0.75
272,2,6795356.38,0.71
273,2,6901228.47,0.72
274,2,7155745.64,0.74
275,2,7198122.82,0.75
276,2,7335380.64,0.76
277,2,7082629.3,0.73
278,2,7335380.64,0.76
279,2,7170864.1,0.74
280,2,7301280.44,0.76
281,2,7264891.48,0.75
282,2,7012560.55,0.73
283,2,6516233.83,0.68
284,2,7305043.09,0.76
285,2,7224635.94,0.75
286,2,6977435.29,0.72
287,2,7185982.13,0.75
288,2,7192052.88,0.75
289,2,7342100.35,0.76
290,2,6821789.84,0.71
291,2,6856553.82,0.71
292,2,7281881.36,0.76
293,2,7064676.95,0.73
294,2,6865936.22,0.71
295,2,7185982.13,0.75
296,2,7202756.57,0.75
297,2,7335878.52,0.76
298,2,7335380.64,0.76
299,2,6934858.08,0.72
300,2,7062097.9,0.73
301,2,6977435.29,0.72
302,2,6929769.4,0.72
303,2,6931402.6,0.72
304,2,7258533.76,0.75
305,2,7236658.83,0.75
306,2,6773731.96,0.7
307,2,6958857.48,0.72
308,2,6844770.93,0.71
309,2,7176271.89,0.74
310,2,6842560.37,0.71
311,2,6467397.16,0.67
312,2,7286340.52,0.76
313,2,6775132.46,0.7
314,2,7240671.14,0.75
315,2,7118314.44,0.74
