sample_id,site_id,Total_Power,qW
1,3,4065416.61,0.78
2,3,3951216.37,0.76
3,3,4022640.78,0.78
4,3,3879223.41,0.75
5,3,3974691.24,0.77
6,3,4079797.83,0.79
7,3,4085226.51,0.79
8,3,4050966.82,0.78
9,3,4089153.82,0.79
10,3,4068196.33,0.78
11,3,3980798.91,0.77
12,3,4051113.71,0.78
13,3,3938734.04,0.76
14,3,3935746.01,0.76
15,3,4062068.63,0.78
16,3,4082016.33,0.79
17,3,3970819.67,0.77
18,3,4060505.33,0.78
19,3,4090743.3,0.79
20,3,3981123.28,0.77
21,3,4053977.19,0.78
22,3,4110398.43,0.79
23,3,3980578.45,0.77
24,3,3955352.78,0.76
25,3,4081875.99,0.79
26,3,4111601.67,0.79
27,3,4002736.09,0.77
28,3,4011983.63,0.77
29,3,3979240.27,0.77
30,3,3998974.46,0.77
31,3,4021042.49,0.78
32,3,4110398.43,0.79
33,3,4083436.52,0.79
34,3,3979884.77,0.77
35,3,4062520.29,0.78
36,3,3982145.16,0.77
37,3,4039187.39,0.78
38,3,4039187.39,0.78
39,3,4107485.58,0.79
40,3,3945015.05,0.76
41,3,3900753.67,0.75
42,3,3979034.11,0.77
43,3,4075620.48,0.79
44,3,4112006.76,0.79
45,3,4110066.57,0.79
46,3,4078396.62,0.79
47,3,4011030.04,0.77
48,3,4127582.86,0.8
49,3,4042720.68,0.78
50,3,4058021.43,0.78
51,3,4057299.31,0.78
52,3,3997173.35,0.77
53,3,4076358.8,0.79
54,3,3976831.32,0.77
55,3,3930056.38,0.76
56,3,3823625.24,0.74
57,3,4116792.93,0.79
58,3,4018202.98,0.78
59,3,4089635.25,0.79
60,3,3977481.08,0.77
61,3,3995526.59,0.77
62,3,4033406.97,0.78
63,3,4090947.18,0.79
64,3,4002297.39,0.77
65,3,4118908.69,0.79
66,3,4058498.89,0.78
67,3,3938605.76,0.76
68,3,4002736.09,0.77
69,3,4081067.8,0.79
70,3,4119380.39,0.79
71,3,3984859.53,0.77
72,3,3952873.61,0.76
73,3,3986198.24,0.77
74,3,4082853.11,0.79
75,3,4060351.68,0.78
76,3,4066718.09,0.78
77,3,4028614.36,0.78
78,3,4116369.06,0.79
79,3,3982821.39,0.77
80,3,4078819.05,0.79
81,3,4044888.75,0.78
82,3,4053977.19,0.78
83,3,4022291.1,0.78
84,3,4094320.21,0.79
85,3,4033843.42,0.78
86,3,3984982.4,0.77
87,3,4002986.33,0.77
88,3,4081596.41,0.79
89,3,4112949.78,0.79
90,3,3908378.75,0.75
91,3,4125909.55,0.8
92,3,4010933.46,0.77
93,3,4025290.13,0.78
94,3,4082853.11,0.79
95,3,3925104.46,0.76
96,3,3970172.61,0.77
97,3,4076299.12,0.79
98,3,4019957.44,0.78
99,3,4115095.31,0.79
100,3,4094206.73,0.79
101,3,4115095.31,0.79
102,3,4045059.71,0.78
103,3,4037994.81,0.78
104,3,4058215.5,0.78
105,3,4091453.1,0.79
