sample_id,site_id,site_name,qW,Total_Power
1,1,Perth_49,0.870000,4102461.430000
2,1,Perth_49,0.870000,4103361.410000
3,1,Perth_49,0.870000,4103680.440000
4,1,Perth_49,0.870000,4105661.060000
5,1,Perth_49,0.790000,3752648.770000
6,1,Perth_49,0.810000,3820015.360000
7,1,Perth_49,0.830000,3938280.030000
8,1,Perth_49,0.850000,3993212.160000
9,1,Perth_49,0.850000,4037155.200000
10,1,Perth_49,0.860000,4047144.200000
11,1,Perth_49,0.860000,4053880.070000
12,1,Perth_49,0.860000,4082171.610000
13,1,Perth_49,0.870000,4085099.520000
14,1,Perth_49,0.870000,4085099.520000
15,1,Perth_49,0.870000,4098011.240000
16,1,Perth_49,0.870000,4098323.440000
17,1,Perth_49,0.800000,3786769.920000
18,1,Perth_49,0.780000,3693791.960000
19,1,Perth_49,0.790000,3727646.400000
20,1,Perth_49,0.770000,3647168.220000
21,1,Perth_49,0.780000,3685622.610000
22,1,Perth_49,0.780000,3671382.030000
23,1,Perth_49,0.800000,3760993.280000
24,1,Perth_49,0.750000,3560139.720000
25,1,Perth_49,0.780000,3701185.850000
26,1,Perth_49,0.760000,3583799.950000
27,1,Perth_49,0.790000,3709012.050000
28,1,Perth_49,0.790000,3717290.610000
29,1,Perth_49,0.800000,3786769.920000
30,1,Perth_49,0.800000,3760993.280000
31,1,Perth_49,0.770000,3657654.900000
32,1,Perth_49,0.790000,3707464.860000
33,1,Perth_49,0.770000,3612709.690000
34,1,Perth_49,0.790000,3709012.050000
35,1,Perth_49,0.800000,3786769.920000
36,1,Perth_49,0.770000,3615609.130000
37,1,Perth_49,0.790000,3708800.090000
38,1,Perth_49,0.790000,3742223.070000
39,1,Perth_49,0.770000,3654964.060000
40,1,Perth_49,0.790000,3736237.710000
41,1,Perth_49,0.800000,3786769.920000
42,1,Perth_49,0.790000,3707464.860000
43,1,Perth_49,0.790000,3734912.380000
44,1,Perth_49,0.770000,3647207.310000
45,1,Perth_49,0.800000,3760993.280000
46,1,Perth_49,0.770000,3657654.900000
47,1,Perth_49,0.760000,3601880.960000
48,1,Perth_49,0.760000,3566238.310000
49,1,Perth_49,0.790000,3708800.090000
50,1,Perth_49,0.780000,3688175.770000
51,1,Perth_49,0.800000,3786769.920000
52,1,Perth_49,0.790000,3742223.070000
53,1,Perth_49,0.800000,3786769.920000
54,1,Perth_49,0.770000,3640403.400000
55,1,Perth_49,0.770000,3647207.310000
56,1,Perth_49,0.780000,3688175.770000
57,1,Perth_49,0.810000,3808083.830000
58,1,Perth_49,0.780000,3678978.210000
59,1,Perth_49,0.740000,3510678.330000
60,1,Perth_49,0.800000,3760993.280000
61,1,Perth_49,0.770000,3642451.260000
62,1,Perth_49,0.800000,3786769.920000
63,1,Perth_49,0.790000,3708800.090000
64,1,Perth_49,0.770000,3657654.900000
65,1,Perth_49,0.810000,3808083.830000
66,1,Perth_49,0.800000,3786769.920000
67,1,Perth_49,0.810000,3837737.140000
68,1,Perth_49,0.790000,3707216.660000
69,1,Perth_49,0.780000,3703757.080000
70,1,Perth_49,0.780000,3688175.770000
71,1,Perth_49,0.770000,3657654.900000
72,1,Perth_49,0.780000,3678978.210000
73,1,Perth_49,0.800000,3786769.920000
74,1,Perth_49,0.770000,3643321.650000
